Ticker,Samples,Test_Size,Model_A_F1,Model_B_F1,Model_A_Precision,Model_B_Precision,Model_A_Recall,Model_B_Recall,F1_Lift,Model_A_AUC,Model_B_AUC,DM_Stat,P_Value,Significant,Thresh_A,Thresh_B
ABUK.CA,5625,1125,0.8208269525267994,0.8171886380189366,0.8072289156626506,0.7674418604651163,0.8348909657320872,0.8738317757009346,-0.004432498831407458,0.8625187851112273,0.8466957553710907,-10.200353320923039,0.0,True,0.3246658425132028,0.449244047487812
ADIB.CA,5832,1166,0.8124137931034483,0.8042553191489362,0.7619663648124192,0.7735334242837654,0.8700147710487445,0.8375184638109305,-0.010042264205469028,0.8393958067137285,0.8452000132909232,14.144774644802432,0.0,True,0.4763264283327058,0.41330686671859007
AMOC.CA,4727,945,0.788785046728972,0.7803163444639719,0.7658802177858439,0.7172859450726979,0.8131021194605009,0.8554913294797688,-0.010736387942594877,0.8207685418871611,0.816412928437678,-5.727254523290295,1.371426994190017e-08,True,0.4409143219847417,0.4160116554693524
BTFH.CA,3557,711,0.7513089005235603,0.7465181058495822,0.665893271461717,0.6961038961038961,0.8618618618618619,0.8048048048048048,-0.006376597789057862,0.8324753324753325,0.7969080191302415,-9.05160084845131,0.0,True,0.33328364583660597,0.491679671440555
CICH.CA,1837,367,0.7545454545454545,0.7782101167315175,0.8258706467661692,0.7272727272727273,0.694560669456067,0.8368200836820083,0.031362805306830485,0.7916121861924686,0.7311552039748954,-4.702677829782463,3.6438734090094016e-06,True,0.43790223970150166,0.4817068754779239
CIEB.CA,4992,998,0.7906976744186046,0.7868852459016393,0.7053941908713693,0.7058823529411765,0.8994708994708994,0.8888888888888888,-0.004821600771456093,0.8224546499875192,0.8280627882329351,4.248745272231951,2.3510754340705375e-05,True,0.3599254969530163,0.345477457990936
CLHO.CA,2202,440,0.6650602409638554,0.7569573283858998,0.8165680473372781,0.6962457337883959,0.5609756097560976,0.8292682926829268,0.13817859159474066,0.79186572793563,0.785935797502305,-0.7992329403922384,0.42458756183752167,False,0.4176844971470288,0.4899653791226305
COMI.CA,5862,1172,0.8038277511961722,0.8280166435506241,0.7396226415094339,0.7713178294573644,0.8802395209580839,0.8937125748502994,0.030092133940955012,0.8173519033361847,0.8630417735956658,18.876883197054728,0.0,True,0.49791750237184307,0.386648227193185
EAST.CA,5806,1161,0.7943156320119671,0.7978963185574756,0.7751824817518248,0.7820324005891016,0.8144171779141104,0.8144171779141104,0.004507888805409441,0.8369381802403365,0.8463063627707401,2.52007505504536,0.011866354943489199,True,0.41018347449977066,0.4496322455353704
EFID.CA,2503,500,0.7515657620041754,0.731404958677686,0.8071748878923767,0.7763157894736842,0.703125,0.69140625,-0.02682506887052339,0.7952660732581966,0.8005731301229508,8.209390621811432,1.7763568394002505e-15,True,0.5070739104747878,0.5525187642966298
EFIH.CA,1010,202,0.825938566552901,0.821917808219178,0.7378048780487805,0.7361963190184049,0.937984496124031,0.9302325581395349,-0.004868108230499276,0.8546246150578741,0.822395667410003,-7.428194499711557,3.079314581100334e-12,True,0.312266925573667,0.44736667708137723
EGBE.CA,134,26,0.9166666666666666,1.0,1.0,1.0,0.8461538461538461,1.0,0.09090909090909095,0.5,0.5,-8.218542265293605,1.4325288066885378e-08,True,0.490628229721706,0.48610147232128015
EKHO.CA,5178,1035,0.7238658777120316,0.7199191102123357,0.6273504273504273,0.6357142857142857,0.8554778554778555,0.8298368298368298,-0.0054523463824137,0.8514813019763515,0.8543431266203543,11.027302761596657,0.0,True,0.380626802142243,0.36020492067274146
EMFD.CA,2549,509,0.7670682730923695,0.7626168224299066,0.7860082304526749,0.7285714285714285,0.7490196078431373,0.8,-0.005803200078289312,0.8639493592712675,0.833348772579898,-12.063629771188053,0.0,True,0.457372564195653,0.4997194170642251
ETEL.CA,4887,977,0.7916666666666666,0.7893422148209825,0.810580204778157,0.807495741056218,0.7736156351791531,0.7719869706840391,-0.002936149699811474,0.7736066618210533,0.8034655108981434,16.41911447783039,0.0,True,0.49882181713042245,0.5027638811560158
EXPA.CA,5833,1166,0.7797123391370174,0.7685325264750378,0.7223001402524544,0.711484593837535,0.8470394736842105,0.8355263157894737,-0.014338381093665161,0.8352286125259385,0.8155330362195812,-17.20568151346681,0.0,True,0.42526203371053717,0.4590957373131882
FAIT.CA,5253,1050,0.8230383973288815,0.7931034482758621,0.8003246753246753,0.8403846153846154,0.8470790378006873,0.7508591065292096,-0.036371266699307556,0.8691734954621554,0.8545998913266956,-18.453292521156563,0.0,True,0.42925030604307507,0.4959896167451764
FWRY.CA,1545,309,0.7798408488063661,0.8031088082901554,0.8166666666666667,0.8201058201058201,0.7461928934010152,0.7868020304568528,0.029836805188396542,0.7917195431472083,0.8026196519216824,6.353528337039956,7.555471803755154e-10,True,0.4530234167849753,0.4775146317024529
GBCO.CA,4474,894,0.814404432132964,0.7544910179640718,0.8368121442125237,0.8475336322869955,0.7931654676258992,0.6798561151079137,-0.07356715141146285,0.8450842875995062,0.7898024775445915,-13.830067082065176,0.0,True,0.49701187982657213,0.5001048655788811
HDBK.CA,5771,1154,0.8005637773079634,0.8129496402877698,0.7696476964769647,0.7968970380818053,0.8340675477239354,0.8296622613803231,0.015471425676360387,0.8341203242340421,0.8393622734878753,15.378217213630053,0.0,True,0.4718143383435085,0.49442544605681366
HELI.CA,5861,1172,0.7867647058823529,0.7784172661870503,0.7181208053691275,0.6980645161290323,0.8699186991869918,0.8796747967479674,-0.010609829893094901,0.8447519376450496,0.8342091051072091,-6.254409033310819,5.582798667802535e-10,True,0.2647947664248187,0.3829470863313861
HRHO.CA,5815,1163,0.7917933130699089,0.7785336356764928,0.7639296187683284,0.7474600870827286,0.8217665615141956,0.8123028391167192,-0.016746387187845987,0.8553010560965575,0.8435056919489781,-6.282997769496901,4.686466770209563e-10,True,0.3600850854962295,0.3569547060589535
ISPH.CA,1951,390,0.8113590263691683,0.7849686847599165,0.8403361344537815,0.8392857142857143,0.7843137254901961,0.7372549019607844,-0.03252609603340284,0.7871604938271606,0.815279593318809,6.802625217666096,3.8906655674963986e-11,True,0.5105992615628289,0.5191264661729662
JUFO.CA,3758,751,0.8155339805825242,0.8253275109170306,0.7730061349693251,0.7907949790794979,0.863013698630137,0.863013698630137,0.01200873362445423,0.8359993872817189,0.844365909521934,15.55072368068093,0.0,True,0.49275004804971845,0.4581046518501024
MASR.CA,5497,1099,0.7897595034910784,0.7914614121510674,0.7302725968436155,0.7699680511182109,0.8597972972972973,0.8141891891891891,0.002154970788532218,0.8285522948984487,0.83981355615971,5.985738681429551,2.9134028523003508e-09,True,0.43243301792951244,0.33773200189929153
MFPC.CA,2261,452,0.7087378640776699,0.7004830917874396,0.6488888888888888,0.6387665198237885,0.7807486631016043,0.7754010695187166,-0.011647144464297553,0.8216527091110886,0.8309857733831096,4.250201651227703,2.5968072074222803e-05,True,0.47665179109615524,0.4691769195509923
OCDI.CA,5902,1180,0.7617554858934169,0.744220730797912,0.7297297297297297,0.6826265389876881,0.7967213114754098,0.8180327868852459,-0.023018876030724608,0.8186942766752947,0.7995153868277249,-4.219935711710205,2.6312155108287882e-05,True,0.3769514411240942,0.42394781855075786
ORAS.CA,131,26,0.07407407407407407,0.631578947368421,1.0,1.0,0.038461538461538464,0.46153846153846156,7.526315789473684,0.5,0.5,-5.457598149438184,1.146185022649071e-05,True,0.9716555352273298,0.922604731970906
ORHD.CA,3208,641,0.7651632970451011,0.7611336032388664,0.8424657534246576,0.7230769230769231,0.7008547008547008,0.8034188034188035,-0.005266449425627931,0.8481284998526378,0.7805678357402497,-9.775460079850438,0.0,True,0.5103239044402881,0.5021366642659999
PHDC.CA,4296,859,0.7893700787401575,0.7909715407262021,0.7726396917148363,0.7720306513409961,0.806841046277666,0.8108651911468813,0.0020287847603757095,0.8301299509765776,0.8299520882199273,0.5746609637140473,0.5656712525054606,False,0.42180947689970344,0.42095033657381786
SAUD.CA,5689,1137,0.7032772364924712,0.7433198380566801,0.8322851153039832,0.7873070325900514,0.6088957055214724,0.7039877300613497,0.056937150083113175,0.8264562646258933,0.8194358358105116,9.81827182594839,0.0,True,0.39673079348755597,0.4406683673298773
SKPC.CA,4990,998,0.808326105810928,0.800705467372134,0.7818791946308725,0.7868284228769498,0.8366247755834829,0.8150807899461401,-0.009427678240267702,0.8458294149497022,0.8488827008960377,-1.1463461631156044,0.25192699993270784,False,0.38847310499338594,0.3696027935118417
SWDY.CA,4768,953,0.7817703768624014,0.7829937998228521,0.7396351575456053,0.7478849407783418,0.828996282527881,0.8215613382899628,0.0015649390110698477,0.8142697182783176,0.8104917812513995,-1.5373591303324028,0.12453766848163128,False,0.40084939933159525,0.3637197097807154
