Ticker,Model_A_F1,Model_B_F1,F1_Lift,Significant,Model_A_Precision,Model_B_Precision,Model_A_Recall,Model_B_Recall
ORAS.CA,0.074074074074074,0.631578947368421,7.526315789473684,True,1.0,1.0,0.0384615384615384,0.4615384615384615
CLHO.CA,0.6650602409638554,0.7569573283858998,0.1381785915947406,False,0.8165680473372781,0.6962457337883959,0.5609756097560976,0.8292682926829268
EGBE.CA,0.9166666666666666,1.0,0.0909090909090909,True,1.0,1.0,0.8461538461538461,1.0
SAUD.CA,0.7032772364924712,0.7433198380566801,0.0569371500831131,True,0.8322851153039832,0.7873070325900514,0.6088957055214724,0.7039877300613497
CICH.CA,0.7545454545454545,0.7782101167315175,0.0313628053068304,True,0.8258706467661692,0.7272727272727273,0.694560669456067,0.8368200836820083
COMI.CA,0.8038277511961722,0.8280166435506241,0.030092133940955,True,0.7396226415094339,0.7713178294573644,0.8802395209580839,0.8937125748502994
FWRY.CA,0.7798408488063661,0.8031088082901554,0.0298368051883965,True,0.8166666666666667,0.8201058201058201,0.7461928934010152,0.7868020304568528
HDBK.CA,0.8005637773079634,0.8129496402877698,0.0154714256763603,True,0.7696476964769647,0.7968970380818053,0.8340675477239354,0.8296622613803231
JUFO.CA,0.8155339805825242,0.8253275109170306,0.0120087336244542,True,0.7730061349693251,0.7907949790794979,0.863013698630137,0.863013698630137
EAST.CA,0.7943156320119671,0.7978963185574756,0.0045078888054094,True,0.7751824817518248,0.7820324005891016,0.8144171779141104,0.8144171779141104
MASR.CA,0.7897595034910784,0.7914614121510674,0.0021549707885322,True,0.7302725968436155,0.7699680511182109,0.8597972972972973,0.8141891891891891
PHDC.CA,0.7893700787401575,0.7909715407262021,0.0020287847603757,False,0.7726396917148363,0.7720306513409961,0.806841046277666,0.8108651911468813
SWDY.CA,0.7817703768624014,0.7829937998228521,0.0015649390110698,False,0.7396351575456053,0.7478849407783418,0.828996282527881,0.8215613382899628
ETEL.CA,0.7916666666666666,0.7893422148209825,-0.0029361496998114,True,0.810580204778157,0.807495741056218,0.7736156351791531,0.7719869706840391
ABUK.CA,0.8208269525267994,0.8171886380189366,-0.0044324988314074,True,0.8072289156626506,0.7674418604651163,0.8348909657320872,0.8738317757009346
CIEB.CA,0.7906976744186046,0.7868852459016393,-0.004821600771456,True,0.7053941908713693,0.7058823529411765,0.8994708994708994,0.8888888888888888
EFIH.CA,0.825938566552901,0.821917808219178,-0.0048681082304992,True,0.7378048780487805,0.7361963190184049,0.937984496124031,0.9302325581395348
ORHD.CA,0.7651632970451011,0.7611336032388664,-0.0052664494256279,True,0.8424657534246576,0.7230769230769231,0.7008547008547008,0.8034188034188035
EKHO.CA,0.7238658777120316,0.7199191102123357,-0.0054523463824137,True,0.6273504273504273,0.6357142857142857,0.8554778554778555,0.8298368298368298
EMFD.CA,0.7670682730923695,0.7626168224299066,-0.0058032000782893,True,0.7860082304526749,0.7285714285714285,0.7490196078431373,0.8
BTFH.CA,0.7513089005235603,0.7465181058495822,-0.0063765977890578,True,0.665893271461717,0.6961038961038961,0.8618618618618619,0.8048048048048048
SKPC.CA,0.808326105810928,0.800705467372134,-0.0094276782402677,False,0.7818791946308725,0.7868284228769498,0.8366247755834829,0.8150807899461401
ADIB.CA,0.8124137931034483,0.8042553191489362,-0.010042264205469,True,0.7619663648124192,0.7735334242837654,0.8700147710487445,0.8375184638109305
HELI.CA,0.7867647058823529,0.7784172661870503,-0.0106098298930949,True,0.7181208053691275,0.6980645161290323,0.8699186991869918,0.8796747967479674
AMOC.CA,0.788785046728972,0.7803163444639719,-0.0107363879425948,True,0.7658802177858439,0.7172859450726979,0.8131021194605009,0.8554913294797688
MFPC.CA,0.7087378640776699,0.7004830917874396,-0.0116471444642975,True,0.6488888888888888,0.6387665198237885,0.7807486631016043,0.7754010695187166
EXPA.CA,0.7797123391370174,0.7685325264750378,-0.0143383810936651,True,0.7223001402524544,0.711484593837535,0.8470394736842105,0.8355263157894737
HRHO.CA,0.7917933130699089,0.7785336356764928,-0.0167463871878459,True,0.7639296187683284,0.7474600870827286,0.8217665615141956,0.8123028391167192
OCDI.CA,0.7617554858934169,0.744220730797912,-0.0230188760307246,True,0.7297297297297297,0.6826265389876881,0.7967213114754098,0.8180327868852459
EFID.CA,0.7515657620041754,0.731404958677686,-0.0268250688705233,True,0.8071748878923767,0.7763157894736842,0.703125,0.69140625
ISPH.CA,0.8113590263691683,0.7849686847599165,-0.0325260960334028,True,0.8403361344537815,0.8392857142857143,0.7843137254901961,0.7372549019607844
FAIT.CA,0.8230383973288815,0.7931034482758621,-0.0363712666993075,True,0.8003246753246753,0.8403846153846154,0.8470790378006873,0.7508591065292096
GBCO.CA,0.814404432132964,0.7544910179640718,-0.0735671514114628,True,0.8368121442125237,0.8475336322869955,0.7931654676258992,0.6798561151079137
