Ticker,Test_Sharpe,Test_CAGR,Optimal_Threshold,Win_Rate,Num_Trades,Train_Size
HDBK.CA,5.904437355302499,165.48723279263382,0.6900000000000003,0.57,300,3351
ISPH.CA,5.269038493486217,224.9430981519978,0.8300000000000004,0.625,96,1281
COMI.CA,4.176971337112479,25.709307244832168,0.8200000000000004,0.5787037037037037,216,3476
GBCO.CA,4.029715840357158,48.11211737782612,0.8200000000000004,0.5542635658914729,258,2758
PHDC.CA,3.9814337077221946,45.49746723250406,0.4800000000000001,0.5801886792452831,424,2728
CLHO.CA,3.3944115828402666,13.496971689887863,0.4,0.5796460176991151,226,1435
ETEL.CA,3.0213837628920244,6.051077063286408,0.42000000000000004,0.5559440559440559,572,3041
FAIT.CA,3.0176295675120763,8.17786064858554,0.5800000000000002,0.582010582010582,378,3084
EMFD.CA,2.9917960474862575,14.193647261183287,0.6200000000000002,0.5311203319502075,241,1640
SKPC.CA,2.984493629935842,20.02277531380227,0.8000000000000004,0.4967105263157895,304,3110
ORHD.CA,2.8921020576113348,11.22731701949834,0.6200000000000002,0.5514950166112956,301,1949
HRHO.CA,2.880321026854072,9.146536531360745,0.8900000000000005,0.48484848484848486,132,3480
CIEB.CA,2.8070630875627893,7.0585375152512615,0.4700000000000001,0.5306553911205074,473,2977
SWDY.CA,2.5530287695420464,14.87286943096399,0.7700000000000004,0.518796992481203,266,2969
JUFO.CA,2.0834215001638943,4.588453330666371,0.9000000000000005,0.5416666666666666,192,2419
SAUD.CA,1.8584043302998863,2.9616199666110328,0.7700000000000004,0.5458333333333333,240,3264
EFID.CA,1.788793006888548,2.7370904122018294,0.43000000000000005,0.4482758620689655,174,1534
ABUK.CA,1.5611238969979002,2.1484592775319764,0.6200000000000002,0.5049019607843137,204,3269
CICH.CA,1.5474169159588176,1.1630667214414778,0.6100000000000002,0.42063492063492064,126,1190
AMOC.CA,1.5193767100913023,2.023388648101594,0.8000000000000004,0.4775510204081633,245,3073
OCDI.CA,1.3177062781143631,1.4158940110554656,0.4,0.462738301559792,577,3440
EKHO.CA,1.2207166480407856,0.7177155229269645,0.8900000000000005,0.41025641025641024,78,3228
MASR.CA,1.1894708156343874,0.9859914297039161,0.5,0.5216400911161732,439,3131
BTFH.CA,1.1100658888450023,-0.0927985394779498,0.8800000000000004,0.48717948717948717,78,2122
EAST.CA,0.6705162516766943,0.037934284483946756,0.8700000000000004,0.5193798449612403,129,3258
HELI.CA,0.6339149241938785,-0.49234468768623496,0.6800000000000003,0.4970414201183432,338,3353
FWRY.CA,0.04608766284421004,-0.17801739178523046,0.7700000000000004,0.4857142857142857,140,1028
EFIH.CA,-0.3364995566083048,-0.7401833576520819,0.5,0.5853658536585366,123,659
ADIB.CA,-0.8109809314305758,-0.7200880019599131,0.8600000000000004,0.5172413793103449,116,3470
EXPA.CA,-1.1902426751883926,-0.809545091797527,0.8900000000000005,0.4206896551724138,145,3452
EGBE.CA,-1.721747213881539,-0.7356217313228202,0.5,0.31386861313868614,274,3203
MFPC.CA,-3.734584662048686,-0.9841692829747668,0.7000000000000003,0.3625,80,1474
