Metric,Baseline (Mean),Economic (Mean),Improvement (%)
Accuracy,0.754817843464375,0.7223027912703858,-4.307668727696659
Precision,0.7401217299025509,0.7529681049896327,1.7357111091405597
Recall,0.863218975126941,0.7681621302674849,-11.011904001007098
F1,0.7931920211508465,0.7415214195254763,-6.514261395418607
AUC,0.8513322756558013,0.8161200604615361,-4.136130650883688
