Ticker,Samples,Train_Pos_Ratio,Test,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,Exo_AUC,F1_Lift,AUC_Lift,Exo_Better,DM_Stat,P_Value,Significant
ORWE.CA,2892,0.525,569,0.7581,0.7527,0.7636,0.49,0.8364,0.7594,0.7448,0.7745,0.49,0.8206,0.0016,-0.0159,True,-8.9973,0.0,True
PHAR.CA,2858,0.498,563,0.8222,0.827,0.8174,0.47,0.8405,0.8237,0.8213,0.8261,0.46,0.8334,0.0019,-0.007,True,8.9162,0.0,True
PHDC.CA,4296,0.476,850,0.8166,0.7701,0.8692,0.38,0.8595,0.8138,0.7745,0.8571,0.41,0.8562,-0.0035,-0.0034,False,-1.275,0.202641,False
POUL.CA,2584,0.515,508,0.8228,0.8377,0.8083,0.49,0.858,0.8067,0.8511,0.7668,0.53,0.8596,-0.0195,0.0016,False,0.9804,0.327337,False
PRCL.CA,2923,0.472,576,0.7759,0.7607,0.7918,0.47,0.8399,0.7669,0.7592,0.7747,0.5,0.8329,-0.0116,-0.0069,False,-11.014,0.0,False
RAYA.CA,2527,0.45,496,0.7601,0.7226,0.8016,0.43,0.8316,0.7477,0.6776,0.834,0.46,0.8259,-0.0162,-0.0057,False,-8.043,0.0,False
RMDA.CA,1436,0.456,279,0.7176,0.7642,0.6763,0.49,0.8061,0.7036,0.7807,0.6403,0.5,0.7804,-0.0195,-0.0257,False,-4.9734,1e-06,False
SAUD.CA,5689,0.506,1128,0.7991,0.7558,0.8477,0.42,0.8269,0.7974,0.7576,0.8415,0.41,0.8286,-0.0022,0.0017,False,1.5513,0.121118,False
SCEM.CA,2409,0.439,473,0.7281,0.7155,0.7411,0.49,0.8117,0.735,0.7333,0.7366,0.48,0.8128,0.0095,0.0011,True,9.5523,0.0,True
SKPC.CA,4990,0.509,989,0.8171,0.776,0.8628,0.34,0.8544,0.8116,0.7888,0.8357,0.4,0.8547,-0.0068,0.0003,False,0.4584,0.646737,False
SUGR.CA,2888,0.472,568,0.7319,0.7799,0.6894,0.5,0.8044,0.6955,0.8194,0.6041,0.52,0.8272,-0.0497,0.0229,False,14.5185,0.0,False
SVCE.CA,2917,0.451,574,0.8345,0.7895,0.885,0.46,0.879,0.8197,0.7634,0.885,0.49,0.8471,-0.0178,-0.0319,False,-18.7395,0.0,False
SWDY.CA,4768,0.529,945,0.7769,0.7303,0.8299,0.42,0.8197,0.7869,0.7308,0.8523,0.41,0.8215,0.0128,0.0019,True,1.5385,0.124254,False
ZMID.CA,2901,0.486,571,0.7966,0.7118,0.9045,0.5,0.8188,0.783,0.7059,0.879,0.49,0.8184,-0.0171,-0.0004,False,10.9478,0.0,False
