Ticker,Samples,Test_Size,Endo_Features,Exo_Features,Endo_F1,Endo_Precision,Endo_Recall,Exo_F1,Exo_Precision,Exo_Recall,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,796,159,21,46,0.6282722513089005,0.6,0.6593406593406593,0.5977011494252874,0.6265060240963856,0.5714285714285714,-0.048659003831417545,False,-0.8640306918290597,0.3888808299817663,False
ADIB.CA,907,181,36,60,0.5445026178010471,0.5909090909090909,0.5048543689320388,0.43010752688172044,0.4819277108433735,0.3883495145631068,-0.21009098428453268,False,-0.7061713938541877,0.4809945720044704,False
AMOC.CA,719,143,26,51,0.6021505376344086,0.5233644859813084,0.7088607594936709,0.47619047619047616,0.6382978723404256,0.379746835443038,-0.20918367346938782,False,1.0526867026019329,0.2942726157394546,False
BTFH.CA,581,116,33,60,0.47244094488188976,0.40540540540540543,0.5660377358490566,0.30952380952380953,0.41935483870967744,0.24528301886792453,-0.34484126984126984,False,0.6466465772817259,0.5191492254936865,False
CICH.CA,292,58,33,61,0.5,0.5172413793103449,0.4838709677419355,0.6461538461538462,0.6176470588235294,0.6774193548387096,0.2923076923076924,True,1.6143687249014596,0.11197029881440113,False
CIEB.CA,754,150,36,60,0.65,0.5462184873949579,0.8024691358024691,0.6570048309178744,0.5396825396825397,0.8395061728395061,0.010776662950576008,True,0.40954505716344675,0.6827278664052914,False
COMI.CA,875,175,38,61,0.44571428571428573,0.5064935064935064,0.3979591836734694,0.5333333333333333,0.5853658536585366,0.4897959183673469,0.19658119658119652,True,1.2986273095689689,0.1957902828097442,False
EAST.CA,796,159,34,58,0.6991150442477876,0.5984848484848485,0.8404255319148937,0.547486033519553,0.5764705882352941,0.5212765957446809,-0.2168870659783608,False,-1.6609821496684352,0.09870011848004179,False
EFID.CA,372,74,35,63,0.5494505494505495,0.49019607843137253,0.625,0.6352941176470588,0.6,0.675,0.1562352941176469,True,0.22365113694056651,0.8236534819823798,False
EKHO.CA,722,144,33,57,0.5637583892617449,0.4827586206896552,0.6774193548387096,0.5277777777777778,0.4634146341463415,0.6129032258064516,-0.06382275132275124,False,-1.9310606011571354,0.05545397073604663,False
EMFD.CA,411,82,41,69,0.46511627906976744,0.45454545454545453,0.47619047619047616,0.48,0.5454545454545454,0.42857142857142855,0.03199999999999997,True,0.008185547283481047,0.9934890780044738,False
ETEL.CA,767,153,38,63,0.49696969696969695,0.5857142857142857,0.43157894736842106,0.36231884057971014,0.5813953488372093,0.2631578947368421,-0.2709437963944857,False,-2.1913920438882766,0.02994556205782839,False
EXPA.CA,884,176,36,58,0.527363184079602,0.4774774774774775,0.5888888888888889,0.5683060109289617,0.5591397849462365,0.5777777777777777,0.07763686978038958,True,0.825644364295509,0.4101299917140615,False
FAIT.CA,706,141,35,59,0.5748502994011976,0.5714285714285714,0.5783132530120482,0.5853658536585366,0.5925925925925926,0.5783132530120482,0.018292682926829243,True,-1.1235543417953082,0.2631250653688686,False
FWRY.CA,265,53,40,69,0.32558139534883723,0.7,0.21212121212121213,0.7397260273972602,0.675,0.8181818181818182,1.2720156555772992,True,1.622508287454791,0.1107426092323216,False
GBCO.CA,752,150,36,61,0.460431654676259,0.6666666666666666,0.3516483516483517,0.5647058823529412,0.6075949367088608,0.5274725274725275,0.22647058823529403,True,1.429840623661465,0.1548562494296868,False
HDBK.CA,891,178,33,57,0.4530386740331492,0.5125,0.40594059405940597,0.6305418719211823,0.6274509803921569,0.6336633663366337,0.3918058392406584,True,1.2686580770177878,0.2062289693236763,False
HELI.CA,950,190,34,58,0.4787234042553192,0.4639175257731959,0.4945054945054945,0.5024630541871922,0.45535714285714285,0.5604395604395604,0.049589490968801365,True,0.28862620932462896,0.7731837425087074,False
HRHO.CA,949,189,39,63,0.5645933014354066,0.5267857142857143,0.6082474226804123,0.3522012578616352,0.45161290322580644,0.28865979381443296,-0.3761859076857478,False,-1.8959019708780271,0.05950697876853983,False
ISPH.CA,331,66,37,65,0.5,0.5294117647058824,0.47368421052631576,0.5151515151515151,0.6071428571428571,0.4473684210526316,0.030303030303030276,True,1.7424192138133618,0.08616477272959222,False
JUFO.CA,594,118,34,59,0.6369426751592356,0.5376344086021505,0.78125,0.5957446808510638,0.5454545454545454,0.65625,-0.06468085106382979,False,0.471723841926085,0.6380024426030717,False
MASR.CA,867,173,34,57,0.47904191616766467,0.5128205128205128,0.449438202247191,0.5029940119760479,0.5384615384615384,0.47191011235955055,0.04999999999999993,True,0.160158556580313,0.87294410991825,False
MFPC.CA,377,75,36,64,0.43243243243243246,0.35555555555555557,0.5517241379310345,0.417910447761194,0.3684210526315789,0.4827586206896552,-0.033582089552238896,False,-2.074462389696732,0.041514721118781406,False
OCDI.CA,988,197,34,58,0.48,0.4752475247524752,0.48484848484848486,0.4972375690607735,0.5487804878048781,0.45454545454545453,0.035911602209944805,True,-0.342938930887808,0.732011927521492,False
ORHD.CA,545,109,37,59,0.3469387755102041,0.4358974358974359,0.288135593220339,0.5714285714285714,0.5135135135135135,0.6440677966101694,0.6470588235294117,True,-0.47192332754514493,0.6379336080051177,False
PHDC.CA,748,149,38,63,0.6195652173913043,0.5588235294117647,0.6951219512195121,0.6033519553072626,0.5567010309278351,0.6585365853658537,-0.02616877389003226,False,-0.7350729590507636,0.46345825566840904,False
SAUD.CA,862,172,33,56,0.6547085201793722,0.5983606557377049,0.7227722772277227,0.6451612903225806,0.603448275862069,0.693069306930693,-0.01458241272646932,False,2.116757013393368,0.035727218436057084,False
