Ticker,Samples,Test_Size,Model_A_F1,Model_B_F1,Model_A_Precision,Model_B_Precision,Model_A_Recall,Model_B_Recall,F1_Lift,Model_A_AUC,Model_B_AUC,DM_Stat,P_Value,Significant,Thresh_A,Thresh_B
ABUK.CA,5625,1125,0.48552338530066813,0.3776223776223776,0.8515625,0.75,0.3395638629283489,0.2523364485981308,-0.22223647911721306,0.7861302993363131,0.722138374515457,-15.75797993964763,0.0,True,0.4710890488945885,0.3883919441389531
ADIB.CA,5832,1166,0.7816432272390822,0.7438928289992119,0.7833827893175074,0.7972972972972973,0.7799113737075333,0.6971935007385525,-0.04829620077847037,0.8142200795642994,0.8010469622688814,-13.075501908662744,0.0,True,0.4129338230011393,0.029084982836086598
AMOC.CA,4727,945,0.7237113402061855,0.7628149435273676,0.7782705099778271,0.694620253164557,0.6763005780346821,0.8458574181117534,0.05403204447513754,0.8034682080924855,0.7868508417234299,0.621790226218722,0.5342299468332512,False,0.3543640090821847,0.2114872553262128
BTFH.CA,3557,711,0.7083333333333334,0.6010733452593918,0.6589147286821705,0.7433628318584071,0.7657657657657657,0.5045045045045045,-0.15142586551615275,0.8098495320717543,0.7781193892305003,-9.360009253151864,0.0,True,0.15541632766302863,0.005221858055666102
CICH.CA,1837,367,0.7299270072992701,0.656641604010025,0.872093023255814,0.81875,0.6276150627615062,0.5481171548117155,-0.10040100250626571,0.770005230125523,0.7140755753138075,-6.813658972964627,3.927036473783119e-11,True,0.43353208978110075,0.3039790127142391
CIEB.CA,4992,998,0.7711651299245599,0.6114221724524076,0.7348242811501597,0.8374233128834356,0.8112874779541446,0.48148148148148145,-0.20714494376551923,0.8060251169299893,0.7780192080269419,-9.217695874373158,0.0,True,0.3150884760814878,0.3868097787637039
CLHO.CA,2202,440,0.7368421052631579,0.7517241379310344,0.7641921397379913,0.6526946107784432,0.7113821138211383,0.8861788617886179,0.020197044334975354,0.7894141312547145,0.7658829938814853,-1.7175764577006412,0.08657910749690556,False,0.4170469643267798,0.43572423632913554
COMI.CA,5862,1172,0.803894297635605,0.7687793427230047,0.7506493506493507,0.6322393822393823,0.8652694610778443,0.9805389221556886,-0.04368105983072598,0.8260770126413839,0.8427401150080791,3.8342440608183863,0.00013265544629237347,True,0.10942657270364313,0.12073302950335697
EAST.CA,5806,1161,0.671875,0.6984667802385008,0.774,0.7854406130268199,0.593558282208589,0.6288343558282209,0.039578463610791946,0.7601425868116239,0.7838477949064087,2.461263854535104,0.013989608438535361,True,0.6135344104196225,0.8573199858195675
EFID.CA,2503,500,0.7287784679089027,0.7535714285714286,0.775330396475771,0.694078947368421,0.6875,0.82421875,0.03401988636363639,0.8124839907786886,0.8152856045081968,2.2276137293469986,0.026351421796257046,True,0.21099308384910778,0.3021227578538864
EFIH.CA,1010,202,0.758893280632411,0.5303867403314917,0.7741935483870968,0.9230769230769231,0.7441860465116279,0.37209302325581395,-0.3011049723756906,0.8079006052883083,0.7872995646171816,-0.6919429197638712,0.4897716946876467,False,0.23803889450329116,0.9141767528949862
EGBE.CA,134,26,0.9803921568627451,0.7619047619047619,1.0,1.0,0.9615384615384616,0.6153846153846154,-0.22285714285714286,0.5,0.5,3.822394855954399,0.0007806785241393221,True,9.184770618799084e-08,0.013205051920527636
EKHO.CA,5178,1035,0.7199211045364892,0.697986577181208,0.6239316239316239,0.6709677419354839,0.8508158508158508,0.7272727272727273,-0.030467959915417883,0.8466000446198465,0.8344988344988344,-2.336752820849314,0.01964223232094331,True,0.2528005009557865,0.1843058197663527
EMFD.CA,2549,509,0.7248322147651006,0.5812807881773399,0.84375,0.7814569536423841,0.6352941176470588,0.4627450980392157,-0.19804780149607737,0.8545159796201945,0.7985641500694766,-1.8434400363592363,0.06584707648989574,False,0.32210302566437315,0.6979591828107651
ETEL.CA,4887,977,0.519298245614035,0.5733186328555678,0.921161825726141,0.8873720136518771,0.36156351791530944,0.4234527687296417,0.10402574570160032,0.8109448048743281,0.7840337039330229,-20.72847315948891,0.0,True,0.23769192309632522,0.002509559171343538
EXPA.CA,5833,1166,0.6736242884250474,0.6360360360360361,0.7959641255605381,0.703187250996016,0.5838815789473685,0.5805921052631579,-0.055800025377490035,0.7895178975664968,0.7462919732126014,-6.385302824204281,2.465700976728158e-10,True,0.1336651396737611,0.07560425350815343
FAIT.CA,5253,1050,0.7614917606244579,0.7860262008733624,0.7688266199649737,0.7992895204262878,0.7542955326460481,0.7731958762886598,0.03221891754782106,0.8240961024466178,0.8404998972009281,-1.2250733249295365,0.22082259900354262,False,0.3351915195161367,0.21795672951144443
FWRY.CA,1545,309,0.6963350785340314,0.6778711484593838,0.7189189189189189,0.75625,0.6751269035532995,0.6142131979695431,-0.026515869505696985,0.6824691805656272,0.71106780275562,-3.3657523371564024,0.0008600522595589855,True,0.09169670430518241,0.006678752010315997
GBCO.CA,4474,894,0.8097385031559964,0.7796934865900383,0.8119349005424955,0.8340163934426229,0.8075539568345323,0.7320143884892086,-0.0371045917278925,0.8226342003320422,0.8122898131199183,-9.944891563235009,0.0,True,0.4721110269944256,0.01926464523163266
HDBK.CA,5771,1154,0.7610062893081762,0.7209302325581395,0.6655665566556656,0.8298279158699808,0.8883994126284875,0.6372980910425844,-0.052661925812031656,0.749985253622176,0.7993716490796708,2.0408876212773386,0.04148935583155522,True,0.2826170343086379,0.4150183612101294
