Ticker,Samples,Train_Pos_Ratio,Test,Endo_F1,Endo_Precision,Endo_Recall,Endo_Threshold,Exo_F1,Exo_Precision,Exo_Recall,Exo_Threshold,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
ABUK.CA,1664,0.5472508591065293,251,0.7058823529411765,0.5887850467289719,0.8811188811188811,0.4900000000000001,0.6607142857142857,0.5751295336787565,0.7762237762237763,0.4700000000000001,-0.06398809523809532,False,-2.206425617019583,0.028263838607199387,False
ADIB.CA,2092,0.4959016393442623,315,0.5953757225433526,0.6280487804878049,0.5659340659340659,0.5000000000000001,0.3724137931034483,0.5,0.2967032967032967,0.5100000000000001,-0.37448945430197517,False,-3.6010297457065414,0.000368274333989671,False
AMOC.CA,1556,0.5179063360881543,234,0.36363636363636365,0.53125,0.2764227642276423,0.5000000000000001,0.23376623376623376,0.5806451612903226,0.14634146341463414,0.5300000000000001,-0.35714285714285715,False,-0.15763495355397159,0.8748809808303526,False
BTFH.CA,1367,0.46338912133891214,206,0.4838709677419355,0.5625,0.42452830188679247,0.5000000000000001,0.2962962962962963,0.6896551724137931,0.18867924528301888,0.5000000000000001,-0.3876543209876544,False,-0.5629202521673424,0.574104309432641,False
CICH.CA,662,0.5010799136069114,100,0.46601941747572817,0.5581395348837209,0.4,0.5000000000000001,0.37362637362637363,0.5483870967741935,0.2833333333333333,0.5000000000000001,-0.19826007326007328,False,-1.796744020582413,0.0754257608304949,False
CIEB.CA,1644,0.5365217391304348,248,0.5056603773584906,0.5583333333333333,0.46206896551724136,0.5000000000000001,0.5652173913043478,0.5954198473282443,0.5379310344827586,0.5000000000000001,0.11778066190785196,True,1.5692295911203233,0.11787459809701906,False
CLHO.CA,804,0.501779359430605,122,0.41739130434782606,0.631578947368421,0.3116883116883117,0.5000000000000001,0.6783625730994152,0.6170212765957447,0.7532467532467533,0.4900000000000001,0.6252436647173489,True,2.944330971963267,0.0038818162772833453,True
COMI.CA,1900,0.5909774436090226,285,0.5659163987138264,0.6518518518518519,0.5,0.5000000000000001,0.3389830508474576,0.6666666666666666,0.22727272727272727,0.5000000000000001,-0.40100154083204936,False,-0.21376199589497305,0.8308860453900466,False
EAST.CA,1803,0.5562599049128367,271,0.488135593220339,0.5333333333333333,0.45,0.5000000000000001,0.18085106382978725,0.6071428571428571,0.10625,0.5100000000000001,-0.629506501182033,False,0.9405708009401615,0.3477655763671703,False
EFID.CA,792,0.463898916967509,120,0.45,0.5094339622641509,0.40298507462686567,0.5000000000000001,0.5379310344827586,0.5,0.582089552238806,0.5000000000000001,0.1954022988505746,True,-0.5423984425266247,0.5885583749639647,False
EMFD.CA,946,0.48489425981873113,143,0.5035971223021583,0.5384615384615384,0.47297297297297297,0.5000000000000001,0.4098360655737705,0.5208333333333334,0.33783783783783783,0.5000000000000001,-0.1861826697892271,False,-1.2234384035095387,0.22319047606605613,False
ETEL.CA,1656,0.5194132873166523,249,0.5454545454545454,0.6545454545454545,0.4675324675324675,0.5000000000000001,0.6198083067092651,0.610062893081761,0.6298701298701299,0.5000000000000001,0.13631522896698614,True,-0.3702973885320943,0.7114769758283537,False
EXPA.CA,1918,0.5149031296572281,289,0.6060606060606061,0.5847953216374269,0.6289308176100629,0.5000000000000001,0.4930555555555556,0.5503875968992248,0.44654088050314467,0.5000000000000001,-0.1864583333333333,False,-0.9433862442176674,0.34627408342273713,False
FWRY.CA,589,0.49514563106796117,89,0.35443037974683544,0.6666666666666666,0.2413793103448276,0.5000000000000001,0.6935483870967742,0.6515151515151515,0.7413793103448276,0.44000000000000006,0.9567972350230416,True,-2.1380314763700032,0.03528625266080798,True
HDBK.CA,1876,0.5125666412795126,282,0.5894039735099338,0.6953125,0.5114942528735632,0.5000000000000001,0.47653429602888087,0.6407766990291263,0.3793103448275862,0.5100000000000001,-0.19149799213077517,False,1.5973265732654318,0.11131681663739745,False
HELI.CA,2229,0.5237179487179487,335,0.5966587112171837,0.5186721991701245,0.702247191011236,0.4900000000000001,0.5182926829268293,0.5666666666666667,0.47752808988764045,0.4900000000000001,-0.13134146341463404,False,0.7219715016972761,0.4708171404045236,False
HRHO.CA,2193,0.532899022801303,330,0.4758842443729904,0.5826771653543307,0.40217391304347827,0.5000000000000001,0.6926605504587156,0.5992063492063492,0.8206521739130435,0.4700000000000001,0.45552318373419276,True,0.5866032096112956,0.5578724965003503,False
ISPH.CA,759,0.4595103578154426,115,0.7209302325581395,0.6262626262626263,0.8493150684931506,0.4700000000000001,0.2857142857142857,0.7222222222222222,0.1780821917808219,0.5500000000000002,-0.6036866359447004,False,-0.2275437354383586,0.8204085521840649,False
JUFO.CA,1364,0.4937106918238994,206,0.49056603773584906,0.5098039215686274,0.4727272727272727,0.4900000000000001,0.5943775100401606,0.5323741007194245,0.6727272727272727,0.5000000000000001,0.2116156935434043,True,0.17690060379119388,0.8597611149785849,False
OCDI.CA,2244,0.5146496815286624,338,0.44886363636363635,0.4340659340659341,0.4647058823529412,0.5000000000000001,0.5295950155763239,0.5629139072847682,0.5,0.5000000000000001,0.17985724989155716,True,1.74790299047344,0.0813915335470361,False
ORHD.CA,1261,0.4433106575963719,190,0.5701754385964912,0.5462184873949579,0.5963302752293578,0.5000000000000001,0.6593406593406593,0.5487804878048781,0.8256880733944955,0.5000000000000001,0.15638207945900254,True,1.5748712953976132,0.11695857214947214,False
