Ticker,Model_A_F1,Model_B_F1,F1_Lift,Model_A_Recall,Model_B_Recall,Significant
SAUD.CA,0.2941935483870967,0.428909952606635,0.4579176020620271,0.1748466257668711,0.2776073619631902,True
ETEL.CA,0.519298245614035,0.5733186328555678,0.1040257457016003,0.3615635179153094,0.4234527687296417,True
AMOC.CA,0.7237113402061855,0.7628149435273676,0.0540320444751375,0.6763005780346821,0.8458574181117534,False
ISPH.CA,0.7300884955752213,0.7600849256900213,0.0410860194299685,0.6470588235294118,0.7019607843137254,True
EAST.CA,0.671875,0.6984667802385008,0.0395784636107919,0.593558282208589,0.6288343558282209,True
EFID.CA,0.7287784679089027,0.7535714285714286,0.0340198863636363,0.6875,0.82421875,True
FAIT.CA,0.7614917606244579,0.7860262008733624,0.032218917547821,0.7542955326460481,0.7731958762886598,False
CLHO.CA,0.7368421052631579,0.7517241379310344,0.0201970443349753,0.7113821138211383,0.8861788617886179,False
ORAS.CA,0.5555555555555556,0.5555555555555556,0.0,0.3846153846153846,0.3846153846153846,False
FWRY.CA,0.6963350785340314,0.6778711484593838,-0.0265158695056969,0.6751269035532995,0.6142131979695431,True
EKHO.CA,0.7199211045364892,0.697986577181208,-0.0304679599154178,0.8508158508158508,0.7272727272727273,True
SWDY.CA,0.7318548387096774,0.7054026503567788,-0.0361440369780652,0.6747211895910781,0.6431226765799256,True
GBCO.CA,0.8097385031559964,0.7796934865900383,-0.0371045917278925,0.8075539568345323,0.7320143884892086,True
COMI.CA,0.803894297635605,0.7687793427230047,-0.0436810598307259,0.8652694610778443,0.9805389221556886,True
ADIB.CA,0.7816432272390822,0.7438928289992119,-0.0482962007784703,0.7799113737075333,0.6971935007385525,True
HDBK.CA,0.7610062893081762,0.7209302325581395,-0.0526619258120316,0.8883994126284875,0.6372980910425844,True
EXPA.CA,0.6736242884250474,0.6360360360360361,-0.05580002537749,0.5838815789473685,0.5805921052631579,True
PHDC.CA,0.7130044843049327,0.6716791979949874,-0.0579593638183508,0.6398390342052314,0.5392354124748491,True
JUFO.CA,0.7526315789473684,0.6993197278911565,-0.0708339279767851,0.6529680365296804,0.58675799086758,True
MASR.CA,0.7610062893081762,0.7004694835680751,-0.0795483645675707,0.8175675675675675,0.6300675675675675,True
MFPC.CA,0.6584158415841584,0.6050420168067226,-0.0810640045491882,0.7112299465240641,0.962566844919786,True
SKPC.CA,0.7854477611940298,0.7217125382262997,-0.0811450819731671,0.755834829443447,0.6355475763016158,False
CICH.CA,0.7299270072992701,0.656641604010025,-0.1004010025062657,0.6276150627615062,0.5481171548117155,True
HELI.CA,0.7675675675675676,0.6822510822510822,-0.111151759039083,0.808130081300813,0.640650406504065,True
HRHO.CA,0.6483412322274882,0.5691699604743083,-0.1221135843561472,0.5394321766561514,0.4542586750788643,True
OCDI.CA,0.7197231833910035,0.6311475409836066,-0.1230690416141235,0.6819672131147541,0.5049180327868853,True
BTFH.CA,0.7083333333333334,0.6010733452593918,-0.1514258655161527,0.7657657657657657,0.5045045045045045,True
EMFD.CA,0.7248322147651006,0.5812807881773399,-0.1980478014960773,0.6352941176470588,0.4627450980392157,False
ORHD.CA,0.7094594594594594,0.5664739884393064,-0.2015414258188823,0.5982905982905983,0.4188034188034188,True
CIEB.CA,0.7711651299245599,0.6114221724524076,-0.2071449437655192,0.8112874779541446,0.4814814814814814,True
ABUK.CA,0.4855233853006681,0.3776223776223776,-0.222236479117213,0.3395638629283489,0.2523364485981308,True
EGBE.CA,0.9803921568627452,0.7619047619047619,-0.2228571428571428,0.9615384615384616,0.6153846153846154,True
EFIH.CA,0.758893280632411,0.5303867403314917,-0.3011049723756906,0.7441860465116279,0.3720930232558139,False
