Ticker,Sector,Window,Window_Weeks,N_Folds,N_Test,F1_Tech,AUC_Tech,Precision_Tech,Recall_Tech,F1_Enhanced,AUC_Enhanced,Precision_Enhanced,Recall_Enhanced,F1_Lift_%,AUC_Lift_%,DM_Stat,P_Value,Significant
ABUK.CA,Industrial,Short,26,92,1196,0.45696867379715006,0.5260222567287784,0.4842488429444951,0.5166709799861973,0.4902738733467458,0.5392018006148441,0.5252398265985222,0.5486197377501726,7.288289429743286,2.505510692271176,3.625719795765231,0.0003002876542876898,Yes
ABUK.CA,Industrial,Medium,52,90,1170,0.5112235394846334,0.5304144620811289,0.5333231583231584,0.5580599647266314,0.5059184291227634,0.5353880070546737,0.5312443420776755,0.5604850088183422,-1.037728107594201,0.9376714492343782,2.253142440883033,0.02443492773784839,Yes
ABUK.CA,Industrial,Long,104,86,1118,0.5097715345150365,0.5288252122554448,0.5451897908293257,0.5584948320413436,0.5305292859355425,0.5627722406792174,0.5691637496870056,0.5757244370616463,4.071971464678492,6.419328662298117,1.9880455940361286,0.047050428157257684,Yes
ADIB.CA,Banking,Short,26,98,1235,0.45785577556801266,0.5405141641983747,0.46935722172564276,0.5388121819700766,0.4687529454052185,0.5467319814688235,0.5164796606901871,0.534799878484089,2.3800442014053207,1.1503523278932577,2.8525220934038433,0.004409734172676538,Yes
ADIB.CA,Banking,Medium,52,96,1235,0.4338838464958719,0.5169723551302499,0.4474523429786587,0.4866936280094174,0.4513275554492761,0.5460351636667427,0.47963802279591755,0.49455836561099714,4.020363766543255,5.62173358944319,2.4192223837007205,0.015697580623663443,Yes
ADIB.CA,Banking,Long,104,92,1183,0.4436992071726532,0.5194856730571017,0.4539567575281861,0.49511322011322,0.4657976013749497,0.5552998588712874,0.504237703688253,0.5288378288378288,4.980489900604556,6.894162374762747,1.289039215875073,0.19763666289924808,No
AMOC.CA,Industrial,Short,26,79,1027,0.4559399891952699,0.5609252561784207,0.5018665230690547,0.5161643560377738,0.4689807067565033,0.5422342776773157,0.5540778841411753,0.5230208961221618,2.860182890351453,-3.332169178554466,1.7768480312483552,0.07588947908025623,No
AMOC.CA,Industrial,Medium,52,77,1001,0.4800024490004788,0.5499020820449393,0.5154728028104651,0.5219336219336219,0.4664358253980705,0.5211657390228818,0.5210796058198656,0.5045454545454545,-2.826365496813279,-5.225719989128741,1.3554355317902498,0.17558488787761628,No
AMOC.CA,Industrial,Long,104,73,949,0.4961698950120851,0.5527071102413568,0.5106761959501687,0.5565503370297891,0.466350319881004,0.521765601217656,0.513927738927739,0.49586866710154387,-6.009952524498644,-5.59817459380777,0.8416234959935578,0.400210983844399,No
BTFH.CA,Financial Services,Short,26,58,754,0.3539370037101434,0.4751383913021844,0.37056975591458347,0.4317982783500025,0.36381747663508096,0.4917282430213465,0.37915580587994374,0.4329284221525601,2.7915908258717006,3.491583088812347,3.3129814916454197,0.000967162514925235,Yes
BTFH.CA,Financial Services,Medium,52,56,728,0.4120168706054376,0.49458584570191716,0.4224799010513296,0.49152172232529373,0.37284436010939764,0.508659941249227,0.4407889233782091,0.39713461142032574,-9.507501583242936,2.8456324962829926,3.0575867648292703,0.0023130838054192804,Yes
BTFH.CA,Financial Services,Long,104,52,676,0.4283134205571096,0.4996212121212121,0.43403749028749034,0.5046287046287046,0.3357642676513241,0.5337475024975025,0.40111240255471026,0.36186383061383065,-21.607810650762772,6.830432645444021,0.9011271212223709,0.3678421363123432,No
CICH.CA,Financial Services,Short,26,65,377,0.4288049518539536,0.5456597999701448,0.5150358262427228,0.4783251231527093,0.47525005746421356,0.5772976066079515,0.5335871025526198,0.5114121510673235,10.83128947309327,5.798082732049845,2.05727817922761,0.04034867095108208,Yes
CICH.CA,Financial Services,Medium,52,63,377,0.4340935152294178,0.5883291038463451,0.4789483505000746,0.46876026272578,0.4689848739809053,0.6187851420610041,0.5517516008895318,0.49693486590038316,8.037751665801201,5.1767009341447245,2.067837130257439,0.03933884468015547,Yes
CICH.CA,Financial Services,Long,104,59,377,0.4290961405058768,0.5663992138130071,0.48511220580186104,0.44819376026272584,0.4652763902763902,0.6208687863860276,0.5863076578593819,0.46669403393541314,8.43173507173921,9.616816415815737,1.3881841294464388,0.16590291018521275,No
CIEB.CA,Banking,Short,26,85,1066,0.46673003052222256,0.5473242881779468,0.49303430309527874,0.5489573434695386,0.4752619240735604,0.5499199310174919,0.4932223264540338,0.5500871080139372,1.8280146965884143,0.47424221720291465,1.1872564691967722,0.23539121340361846,No
CIEB.CA,Banking,Medium,52,83,1066,0.4446406796572922,0.5288195544293105,0.5098815141498069,0.4857433217189314,0.4770525131064662,0.5576791433498751,0.5176726051726052,0.5340675922992997,7.2894440234652995,5.457360394267038,2.663621479285282,0.007847131400253948,Yes
CIEB.CA,Banking,Long,104,79,1027,0.4510926805338373,0.5073360184119678,0.526764409992258,0.4809911958646135,0.4834530634418944,0.5330492995049959,0.503047198933275,0.5252132536942663,7.173776987416611,5.068294022079134,2.197692035555486,0.028193909813526652,Yes
CLHO.CA,Healthcare,Short,26,34,442,0.4047683525624702,0.5053688141923436,0.43320494864612513,0.46123949579831924,0.46995843588657527,0.5100840336134453,0.5165553400847518,0.5004668534080299,16.105528733016232,0.9330254041570406,2.4526457078148773,0.01456737688356391,Yes
